,srawVOC,srawNOX,voc_index_value,nox_index_value,timestamp,epoch
211,31584.0,16555.0,101.0,1.0,225455.0,1666306566.2588027
212,31596.0,16547.0,102.0,1.0,227394.0,1666306568.2084
213,31579.0,16557.0,102.0,1.0,227456.0,1666306568.2664113
214,31657.0,16541.0,102.0,1.0,229394.0,1666306570.2028313
215,31623.0,16539.0,101.0,1.0,229455.0,1666306570.2638216
216,31723.0,16544.0,99.0,1.0,231395.0,1666306572.2148175
217,31684.0,16537.0,98.0,1.0,231454.0,1666306572.2748246
218,31744.0,16535.0,96.0,1.0,233396.0,1666306574.210824
219,31681.0,16535.0,96.0,1.0,233454.0,1666306574.2698176
220,31612.0,16519.0,96.0,1.0,235395.0,1666306576.2268293
221,31580.0,16519.0,98.0,1.0,235455.0,1666306576.2648304
222,31646.0,16523.0,98.0,1.0,237394.0,1666306578.213614
223,31632.0,16516.0,98.0,1.0,237456.0,1666306578.2742908
224,31678.0,16507.0,97.0,1.0,239394.0,1666306580.2094145
225,31621.0,16502.0,97.0,1.0,239455.0,1666306580.2684767
226,31619.0,16515.0,98.0,1.0,241395.0,1666306582.2191415
227,31635.0,16508.0,98.0,1.0,241454.0,1666306582.2641823
228,31641.0,16508.0,98.0,1.0,243396.0,1666306584.2141066
229,31634.0,16505.0,98.0,1.0,243454.0,1666306584.2744079
230,31626.0,16505.0,98.0,1.0,245395.0,1666306586.2333267
231,31652.0,16502.0,98.0,1.0,245455.0,1666306586.268327
232,31651.0,16494.0,98.0,1.0,247394.0,1666306588.2191074
233,31639.0,16498.0,98.0,1.0,247456.0,1666306588.2791526
234,31623.0,16493.0,98.0,1.0,249394.0,1666306590.2138872
235,31611.0,16493.0,99.0,1.0,249455.0,1666306590.2739167
236,31651.0,16474.0,98.0,1.0,251395.0,1666306592.2093818
237,31638.0,16469.0,98.0,1.0,251454.0,1666306592.2703447
238,31655.0,16465.0,98.0,1.0,253396.0,1666306594.219525
239,31688.0,16468.0,97.0,1.0,253454.0,1666306594.2788653
240,31675.0,16456.0,96.0,1.0,255395.0,1666306596.2196944
241,31665.0,16460.0,96.0,1.0,255455.0,1666306596.2745113
242,31654.0,16453.0,96.0,1.0,257394.0,1666306598.2099092
243,31626.0,16459.0,97.0,1.0,257456.0,1666306598.284076
244,31637.0,16439.0,97.0,1.0,259393.0,1666306600.2200544
245,31603.0,16451.0,98.0,1.0,259456.0,1666306600.279224
246,31640.0,16449.0,98.0,1.0,261394.0,1666306602.215207
247,31660.0,16442.0,98.0,1.0,261455.0,1666306602.2738736
248,31650.0,16440.0,97.0,1.0,263395.0,1666306604.382032
249,31660.0,16439.0,97.0,1.0,263455.0,1666306604.4684515
250,31691.0,16428.0,96.0,1.0,265394.0,1666306606.5016592
251,31685.0,16429.0,96.0,1.0,265456.0,1666306606.5903237
252,31618.0,16429.0,97.0,1.0,267393.0,1666306608.3850281
253,31608.0,16425.0,98.0,1.0,267457.0,1666306608.4717999
254,31705.0,16424.0,96.0,1.0,269393.0,1666306610.3829408
255,31687.0,16423.0,96.0,1.0,269456.0,1666306610.4701238
256,31637.0,16407.0,96.0,1.0,271394.0,1666306612.3766806
257,31645.0,16413.0,96.0,1.0,271455.0,1666306612.4036825
258,31688.0,16399.0,96.0,1.0,273395.0,1666306614.21572
259,31645.0,16405.0,96.0,1.0,273455.0,1666306614.2747185
260,31720.0,16404.0,95.0,1.0,275394.0,1666306616.2406778
261,31684.0,16395.0,95.0,1.0,275456.0,1666306616.285675
262,31694.0,16393.0,94.0,1.0,277393.0,1666306618.2208395
263,31678.0,16389.0,94.0,1.0,277457.0,1666306618.2800546
264,31675.0,16391.0,94.0,1.0,279393.0,1666306620.2154849
265,31696.0,16384.0,93.0,1.0,279456.0,1666306620.2904215
266,31732.0,16387.0,92.0,1.0,281394.0,1666306622.2257612
267,31731.0,16380.0,91.0,1.0,281455.0,1666306622.285764
268,31663.0,16377.0,92.0,1.0,283395.0,1666306624.2207956
269,31694.0,16371.0,92.0,1.0,283455.0,1666306624.2801633
270,31664.0,16360.0,92.0,1.0,285394.0,1666306626.2440991
271,31759.0,16367.0,91.0,1.0,285456.0,1666306626.2907083
272,31708.0,16363.0,91.0,1.0,287393.0,1666306628.225852
273,31687.0,16362.0,91.0,1.0,287457.0,1666306628.285001
274,31692.0,16356.0,91.0,1.0,289393.0,1666306630.2251153
275,31705.0,16358.0,91.0,1.0,289456.0,1666306630.2991278
276,31694.0,16351.0,91.0,1.0,291394.0,1666306632.2341163
277,31687.0,16351.0,91.0,1.0,291455.0,1666306632.291117
278,31738.0,16348.0,90.0,1.0,293395.0,1666306634.2271163
279,31750.0,16345.0,89.0,1.0,293455.0,1666306634.2881165
280,31702.0,16345.0,90.0,1.0,295394.0,1666306636.2571268
281,31732.0,16347.0,89.0,1.0,295455.0,1666306636.2971146
282,31745.0,16338.0,89.0,1.0,297394.0,1666306638.2317085
283,31815.0,16330.0,87.0,1.0,297456.0,1666306638.2911007
284,31784.0,16328.0,86.0,1.0,299394.0,1666306640.225447
285,31747.0,16332.0,86.0,1.0,299455.0,1666306640.286676
286,31741.0,16328.0,86.0,1.0,301395.0,1666306642.2364173
287,31740.0,16338.0,86.0,1.0,301454.0,1666306642.2959168
288,31717.0,16336.0,86.0,1.0,303396.0,1666306644.2310092
289,31817.0,16334.0,85.0,1.0,303454.0,1666306644.291915
290,31728.0,16329.0,85.0,1.0,305395.0,1666306646.2643573
291,31716.0,16331.0,86.0,1.0,305455.0,1666306646.2917247
292,31724.0,16320.0,86.0,1.0,307394.0,1666306648.2369478
293,31699.0,16325.0,87.0,1.0,307456.0,1666306648.2963648
294,31718.0,16313.0,88.0,1.0,309394.0,1666306650.2309155
295,31704.0,16320.0,89.0,1.0,309455.0,1666306650.290016
296,31723.0,16313.0,89.0,1.0,311395.0,1666306652.2419274
297,31734.0,16303.0,89.0,1.0,311454.0,1666306652.302214
298,31740.0,16294.0,89.0,1.0,313396.0,1666306654.2370987
299,31732.0,16308.0,89.0,1.0,313454.0,1666306654.2968442
300,31682.0,16299.0,90.0,1.0,315395.0,1666306656.2699316
301,31700.0,16298.0,91.0,1.0,315455.0,1666306656.2988255
302,31695.0,16296.0,92.0,1.0,317394.0,1666306658.2420394
303,31701.0,16296.0,93.0,1.0,317456.0,1666306658.3014176
304,31745.0,16290.0,92.0,1.0,319394.0,1666306660.2371376
305,31710.0,16292.0,93.0,1.0,319455.0,1666306660.296537
306,31715.0,16285.0,93.0,1.0,321395.0,1666306662.2317736
307,31712.0,16284.0,93.0,1.0,321454.0,1666306662.2915254
308,31732.0,16276.0,93.0,1.0,323396.0,1666306664.2418108
309,31673.0,16285.0,95.0,1.0,323454.0,1666306664.3018112
310,31730.0,16267.0,95.0,1.0,325395.0,1666306666.2767262
311,31767.0,16269.0,94.0,1.0,325455.0,1666306666.3067372
312,31684.0,16270.0,95.0,1.0,327394.0,1666306668.2637444
313,31699.0,16269.0,95.0,1.0,327455.0,1666306668.3107429
314,31688.0,16268.0,96.0,1.0,329395.0,1666306670.4257421
315,31699.0,16262.0,97.0,1.0,329454.0,1666306670.5167441
316,31687.0,16264.0,97.0,1.0,331396.0,1666306672.4357436
317,31728.0,16261.0,97.0,1.0,331453.0,1666306672.5287404
318,31774.0,16259.0,96.0,1.0,333397.0,1666306674.4166348
319,31650.0,16270.0,98.0,1.0,333453.0,1666306674.505034
320,31683.0,16253.0,99.0,1.0,335396.0,1666306676.5548568
321,31678.0,16256.0,99.0,1.0,335454.0,1666306676.6429904
322,31677.0,16261.0,100.0,1.0,337395.0,1666306678.2375414
323,31683.0,16261.0,101.0,1.0,337455.0,1666306678.2969382
324,31689.0,16248.0,101.0,1.0,339395.0,1666306680.248142
325,31736.0,16251.0,100.0,1.0,339454.0,1666306680.3074903
326,31830.0,16241.0,98.0,1.0,341396.0,1666306682.2423134
327,31658.0,16246.0,99.0,1.0,341453.0,1666306682.302803
328,31671.0,16240.0,100.0,1.0,343397.0,1666306684.252824
329,31710.0,16237.0,100.0,1.0,343453.0,1666306684.297825
330,31689.0,16236.0,101.0,1.0,345396.0,1666306686.2847981
331,31675.0,16230.0,101.0,1.0,345454.0,1666306686.3137965
332,31695.0,16227.0,102.0,1.0,347395.0,1666306688.2424219
333,31654.0,16227.0,103.0,1.0,347455.0,1666306688.3028214
334,31644.0,16226.0,104.0,1.0,349395.0,1666306690.2541423
335,31645.0,16225.0,105.0,1.0,349454.0,1666306690.3141482
336,31639.0,16232.0,106.0,1.0,351396.0,1666306692.2501411
337,31663.0,16231.0,107.0,1.0,351453.0,1666306692.310141
338,31618.0,16217.0,108.0,1.0,353397.0,1666306694.2591393
339,31619.0,16229.0,109.0,1.0,353453.0,1666306694.3031392
340,31662.0,16232.0,109.0,1.0,355396.0,1666306696.2835927
341,31650.0,16228.0,110.0,1.0,355454.0,1666306696.3125975
342,31689.0,16227.0,109.0,1.0,357395.0,1666306698.2482853
343,31653.0,16225.0,109.0,1.0,357455.0,1666306698.3082347
344,31650.0,16214.0,110.0,1.0,359395.0,1666306700.2578309
345,31646.0,16216.0,110.0,1.0,359454.0,1666306700.3180854
346,31624.0,16213.0,111.0,1.0,361396.0,1666306702.2536893
347,31647.0,16201.0,111.0,1.0,361453.0,1666306702.3136961
348,31633.0,16198.0,111.0,1.0,363397.0,1666306704.2639458
349,31678.0,16198.0,111.0,1.0,363453.0,1666306704.307279
350,31679.0,16186.0,110.0,1.0,365396.0,1666306706.2964807
