,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
371,4.0,,,,,,,
372,534150.0,,,,,,,
373,12808.0,,,,,,,
374,65044.0,,,,,,,
375,295.27789306640625,,,,,,,
376,296.5107116699219,,,,,,,
377,1664398284.056784,,,,,,,
378,5.0,,,,,,,
379,534151.0,,,,,,,
380,13285.0,,,,,,,
381,65017.0,,,,,,,
382,294.66162109375,,,,,,,
383,296.2028503417969,,,,,,,
384,1664398284.058593,,,,,,,
385,1.0,,,,,,,
386,535146.0,,,,,,,
387,13086.0,,,,,,,
388,64492.0,,,,,,,
389,294.9755859375,,,,,,,
390,294.9909362792969,,,,,,,
391,1664398285.039764,,,,,,,
392,2.0,,,,,,,
393,535147.0,,,,,,,
394,13501.0,,,,,,,
395,64483.0,,,,,,,
396,295.3127746582031,,,,,,,
397,295.4197082519531,,,,,,,
398,1664398285.054445,,,,,,,
399,3.0,,,,,,,
400,535149.0,,,,,,,
401,12752.0,,,,,,,
402,65091.0,,,,,,,
403,295.07440185546875,,,,,,,
404,296.7763671875,,,,,,,
405,1664398285.0615628,,,,,,,
406,4.0,,,,,,,
407,535150.0,,,,,,,
408,12807.0,,,,,,,
409,65073.0,,,,,,,
410,295.2720947265625,,,,,,,
411,296.586669921875,,,,,,,
412,1664398285.064223,,,,,,,
413,5.0,,,,,,,
414,535152.0,,,,,,,
415,13283.0,,,,,,,
416,65047.0,,,,,,,
417,294.6499938964844,,,,,,,
418,296.2782897949219,,,,,,,
419,1664398285.066174,,,,,,,
420,1.0,,,,,,,
421,536146.0,,,,,,,
422,13085.0,,,,,,,
423,64490.0,,,,,,,
424,294.9697570800781,,,,,,,
425,294.9800109863281,,,,,,,
426,1664398286.044456,,,,,,,
427,2.0,,,,,,,
428,536147.0,,,,,,,
429,13501.0,,,,,,,
430,64480.0,,,,,,,
431,295.3127746582031,,,,,,,
432,295.41168212890625,,,,,,,
433,1664398286.051511,,,,,,,
434,3.0,,,,,,,
435,536149.0,,,,,,,
436,12751.0,,,,,,,
437,65082.0,,,,,,,
438,295.068603515625,,,,,,,
439,296.746826171875,,,,,,,
440,1664398286.0575738,,,,,,,
441,4.0,,,,,,,
442,536150.0,,,,,,,
443,12807.0,,,,,,,
444,65057.0,,,,,,,
445,295.2720947265625,,,,,,,
446,296.5416259765625,,,,,,,
447,1664398286.063369,,,,,,,
448,5.0,,,,,,,
449,536152.0,,,,,,,
450,13283.0,,,,,,,
451,65037.0,,,,,,,
452,294.6499938964844,,,,,,,
453,296.24932861328125,,,,,,,
454,1664398286.068931,,,,,,,
455,1.0,,,,,,,
456,537146.0,,,,,,,
457,13084.0,,,,,,,
458,64493.0,,,,,,,
459,294.9639587402344,,,,,,,
460,294.98187255859375,,,,,,,
